Top trending topics score;Top search trends volume;Top Marketing trends score;Top Real Estate trends score;Top Ecommerce trends score;Top Investment trends score; Top Small business trends score;Top Healthcare trends score;Top Travel trends score
100;498022;100;100;100;100;100;100;100
66;497333;95;79;49;83;58;24;57
43;497333;84;64;49;57;50;21;29
35;497179;75;50;38;54;45;21;21
35;497000;73;27;31;49;42;17;19
31;496722;72;23;24;44;40;13;15
31;496375;70;15;20;37;39;13;12
29;495375;48;14;16;36;37;12;10
28;495189;45;13;15;31;36;11;9
28;495187;38;11;15;30;35;11;8
28;495000;36;10;13;29;35;11;7
27;494600;32;10;13;28;31;10;6
27;494526;29;9;12;27;29;10;6
27;494000;28;9;8;27;28;9;6
26;494000;27;9;7;24;24;8;6
26;493214;24;8;6;23;23;8;6
26;493000;23;8;5;21;21;7;5
26;492857;22;8;5;19;21;7;4
26;492419;18;8;5;16;16;7;4
25;492000;18;8;4;14;16;7;4
23;491833;17;8;4;13;16;7;4
23;491586;16;8;4;13;15;7;4
22;491533;16;7;3;12;15;6;4
20;491000;15;7;3;12;15;6;3
20;490025;15;7;3;12;14;6;3
20;490000;13;6;3;12;14;5;3
20;490000;12;6;2;11;13;5;3
20;490000;12;6;2;11;12;5;3
19;490000;12;5;2;8;12;5;3
19;489333;12;5;2;8;12;5;3
19;489333;10;5;2;8;11;5;3
19;489038;10;5;2;8;10;5;3
19;489000;10;5;2;8;10;5;3
19;488875;10;5;1;8;9;4;3
19;488238;10;5;1;7;9;4;3
19;487931;10;4;1;7;8;4;2
19;487208;9;4;1;6;8;4;2
19;487000;9;4;1;6;7;4;2
19;486842;9;4;1;6;7;4;2
19;486363;9;4;1;5;6;4;2
19;486333;8;4;1;5;6;4;2
18;485400;8;4;1;5;6;4;2
18;485333;8;4;1;4;6;4;2
18;485250;8;3;1;4;6;4;2
18;484307;7;3;1;4;5;3;2
18;483878;7;3;0;4;5;3;2
18;483333;7;3;0;4;5;3;1
18;483333;7;3;0;3;5;3;1
18;483333;6;3;0;3;5;3;1
18;483333;6;3;0;3;5;3;1
18;483333;6;;;;;;
18;483333;6;;;;;;
18;483333;6;;;;;;
18;483333;6;;;;;;
18;483333;6;;;;;;
18;483333;6;;;;;;
18;483333;6;;;;;;
18;483274;6;;;;;;
18;483037;6;;;;;;
18;482950;6;;;;;;
18;481142;6;;;;;;
18;481000;6;;;;;;
18;480633;6;;;;;;
18;479851;5;;;;;;
18;479500;5;;;;;;
18;479411;5;;;;;;
18;479000;5;;;;;;
18;478909;5;;;;;;
18;478833;5;;;;;;
18;478571;5;;;;;;
18;478571;4;;;;;;
18;478200;4;;;;;;
18;477039;4;;;;;;
17;476235;4;;;;;;
17;476222;4;;;;;;
16;476222;4;;;;;;
15;475767;4;;;;;;
15;475000;4;;;;;;
15;475000;4;;;;;;
15;475000;4;;;;;;
15;475000;4;;;;;;
15;473600;3;;;;;;
14;473600;3;;;;;;
14;473500;3;;;;;;
13;473500;3;;;;;;
13;472222;3;;;;;;
12;471615;3;;;;;;
12;471243;3;;;;;;
12;470833;3;;;;;;
12;470000;3;;;;;;
12;470000;3;;;;;;
12;469875;3;;;;;;
12;469812;3;;;;;;
12;469744;3;;;;;;
12;469666;3;;;;;;
12;468181;3;;;;;;
12;468181;3;;;;;;
12;467200;2;;;;;;
12;467111;2;;;;;;
12;467100;2;;;;;;
